,name,company,year,Price,kms_driven,fuel_type
759,Chevrolet Beat LS,Chevrolet,2014,"1,89,000",31000,Diesel
760,Mahindra Xylo E8,Mahindra,2011,"3,65,000",43000,Diesel
761,Hyundai Eon D,Hyundai,2013,"1,70,000",20000,Petrol
762,Tata Sumo Gold,Tata,2013,"2,15,000",100000,Petrol
763,Tata Nano,Tata,2013,"60,000",7000,Petrol
764,Hyundai Elite i20,Hyundai,2017,"5,99,999",31000,Petrol
765,Hyundai i10 Magna,Hyundai,2009,"4,00,000",33000,Petrol
766,Hyundai Creta,Hyundai,2016,"9,00,000",60000,Diesel
767,Volkswagen Polo,Volkswagen,2013,"2,99,999",48000,Diesel
768,Maruti Suzuki Dzire,Maruti,2014,"3,74,999",33000,Petrol
769,Tata Bolt XM,Tata,2015,"6,00,000",15000,Petrol
770,Maruti Suzuki Alto,Maruti,2005,"70,000",47000,Petrol
771,Maruti Suzuki Alto,Maruti,2005,"1,00,000",40000,Petrol
772,Hyundai Venue,Hyundai,2019,Ask For Price,7000,Diesel
773,Maruti Suzuki Ritz,Maruti,2010,"1,50,000",38000,Diesel
774,Maruti Suzuki Alto,Maruti,2017,"2,25,000",12500,Petrol
775,Maruti Suzuki Dzire,Maruti,2009,"2,10,000",42000,Petrol
776,Renault Lodgy,Renault,2016,Ask For Price,20000,Diesel
777,Hyundai i20 Asta,Hyundai,2014,"4,25,000",31000,Petrol
778,Maruti Suzuki Swift,Maruti,2008,"1,62,000",60000,Diesel
779,Tata Indica V2,Tata,2005,"60,000",80000,Diesel
780,Mahindra Scorpio VLX,Mahindra,2014,"6,50,000",77000,Diesel
781,Toyota Innova 2.5,Toyota,2012,"7,50,000",75000,Diesel
782,Mahindra Xylo E8,Mahindra,2010,"3,75,000",40000,Diesel
783,Hyundai i20 Magna,Hyundai,2011,"2,30,000",47000,Petrol
784,Maruti Suzuki Omni,Maruti,2000,"35,999",60000,Petrol
785,Mahindra KUV100,Mahindra,2016,"3,80,000",26500,Petrol
786,Mahindra KUV100 K8,Mahindra,2019,"5,60,000",2875,Petrol
787,Datsun Go Plus,Datsun,2016,"2,85,000",13900,Petrol
788,Ford Endeavor 4x4,Ford,2019,"29,00,000",9000,Diesel
789,Tata Indica V2,Tata,2005,"39,999",80000,Diesel
790,Hyundai Santro Xing,Hyundai,2006,"85,000",60000,Petrol
791,Maruti Suzuki Wagon,Maruti,2016,"3,95,000",20000,Petrol
792,Maruti Suzuki Swift,Maruti,2008,"1,75,000",58000,Diesel
793,Maruti Suzuki Alto,Maruti,2019,"4,00,000",1500,Petrol
794,Toyota Innova 2.5,Toyota,2011,"7,50,000",75000,Diesel
795,Maruti Suzuki Alto,Maruti,2016,"2,50,000",2450,Petrol
796,Maruti Suzuki Alto,Maruti,2019,"4,25,000",1625,Petrol
797,Maruti Suzuki Alto,Maruti,2019,Ask For Price,1500,Petrol
798,Volkswagen Polo Highline1.2L,Volkswagen,2017,"5,25,000",45000,Petrol
799,Mahindra Logan,Mahindra,2009,"1,30,000",65000,Diesel
800,Maruti Suzuki 800,Maruti,2000,"30,000",33400,Petrol
801,Mahindra Scorpio,Mahindra,2011,"4,75,000",60123,Diesel
802,Chevrolet Sail 1.2,Chevrolet,2013,"3,00,000",28000,Petrol
803,Volkswagen Vento Highline,Volkswagen,2015,Ask For Price,38900,Diesel
804,Hyundai Santro AE,Hyundai,2003,"60,000",70000,Petrol
805,Maruti Suzuki Wagon,Maruti,2006,"1,00,000",7000,Petrol
806,Hyundai Eon,Hyundai,2018,"2,60,000",25000,Petrol
807,Tata Manza,Tata,2015,"1,00,000",100000,Diesel
808,Toyota Innova 2.0,Toyota,2019,Ask For Price,4000,Petrol
809,Toyota Etios G,Toyota,2013,"2,65,000",42000,Petrol
810,Hyundai Getz Prime,Hyundai,2009,"1,15,000",20000,Petrol
811,Toyota Qualis,Toyota,2003,"1,80,000",100000,Diesel
812,Hyundai Santro Xing,Hyundai,2004,"45,000",137495,Petrol
813,Tata Indica eV2,Tata,2016,"50,500",91200,Diesel
814,Honda City 1.5,Honda,2009,"2,70,000",55000,Petrol
815,Tata Zest XE,Tata,2017,"2,90,000",120000,Diesel
816,Mahindra Quanto C4,Mahindra,2013,"3,25,000",63000,Diesel
817,Tata Indigo eCS,Tata,2016,"1,60,000",104000,Diesel
818,Maruti Suzuki Swift,Maruti,2016,"3,50,000",146000,Diesel
819,Hyundai Elite i20,Hyundai,2011,"2,90,000",40000,Petrol
820,Hyundai i20 Select,Hyundai,2011,"2,90,000",40000,Petrol
821,Chevrolet Tavera Neo,Chevrolet,2007,"4,65,000",100800,Diesel
822,Maruti Suzuki Dzire,Maruti,2016,"3,25,000",150000,Diesel
823,Hyundai Elite i20,Hyundai,2018,"5,10,000",2100,Petrol
824,Honda City VX,Honda,2016,"8,60,000",95000,Petrol
825,Maruti Suzuki Dzire,Maruti,2016,"4,50,000",2500,Diesel
826,Hyundai Getz,Hyundai,2006,"1,25,000",80000,Petrol
827,Mercedes Benz C,Mercedes,2006,"5,00,001",15000,Petrol
828,Maruti Suzuki Alto,Maruti,2005,"95,000",65000,Petrol
829,Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel
830,Skoda Fabia,Skoda,2009,"1,10,000",45000,Petrol
831,Maruti Suzuki Alto,Maruti,2015,Ask For Price,70000,Petrol
832,Maruti Suzuki Ritz,Maruti,2011,"2,70,000",50000,Petrol
833,Tata Indica V2,Tata,2009,"1,10,000",30000,Diesel
834,Toyota Corolla Altis,Toyota,2009,"3,00,000",132000,Petrol
835,Tata Zest XM,Tata,2018,"2,60,000",27000,Diesel
836,Mahindra Quanto C8,Mahindra,2013,"3,90,000",40000,Diesel
